id,application_date,tot_claim_cnt_l180d,disb_bank_loan_wo_tbc,day_sinlastloan,avg_loan_amnt,loan_frequency
2925961,2024-02-13 05:47:20.547,-3,1923205715.0,168,398441143.0,5.306295399515738
2925962,2024-02-13 05:47:23.616,1,10435758829.0,172,5217879414.5,0.3131161594513502
2925963,2024-02-13 05:47:26.181,-3,-1.0,-3,-1.0,-1.0
2925964,2024-02-13 05:47:27.494,-3,-1.0,-3,-1.0,-1.0
2925965,2024-02-13 05:47:07.460,-3,4681739639.0,88,334409974.21428573,3.0420599666851746
2925966,2024-02-13 05:47:20.547,-3,1923205715.0,168,398441143.0,5.306295399515738
2925967,2024-02-13 05:47:23.616,1,10435758829.0,172,5217879414.5,0.3131161594513502
2925968,2024-02-13 05:47:38.880,-3,-1.0,-3,-1.0,-1.0
2925969,2024-02-13 05:47:39.325,-3,-1.0,-3,-1.0,-1.0
2925970,2024-02-13 05:47:49.331,-3,-1.0,-3,-1.0,-1.0
2925971,2024-02-13 05:47:50.052,1,10435758829.0,172,5217879414.5,0.3131161594513502
2925972,2024-02-13 05:47:51.398,-3,1923205715.0,168,398441143.0,5.306295399515738
2925973,2024-02-13 05:47:50.052,1,10435758829.0,172,5217879414.5,0.3131161594513502
2925974,2024-02-13 05:47:51.398,-3,1923205715.0,168,398441143.0,5.306295399515738
2925975,2024-02-13 05:48:30.987,-3,-3.0,-3,-1.0,-1.0
2925977,2024-02-13 05:48:30.987,-3,-3.0,-3,-1.0,-1.0
2925978,2024-02-13 05:48:47.520,-3,-1.0,-3,-1.0,-1.0
2925979,2024-02-13 05:48:58.876,-3,-1.0,-3,-1.0,-1.0
2925980,2024-02-13 05:49:10.761,-3,-3.0,-3,-1.0,-1.0
2925981,2024-02-13 05:49:10.761,-3,-3.0,-3,-1.0,-1.0
2925982,2024-02-13 05:49:30.407,-3,-3.0,992,0.0,0.9317602040816326
2925983,2024-02-13 05:49:35.448,-3,-1.0,-3,-1.0,-1.0
2925984,2024-02-13 05:49:30.407,-3,-3.0,992,0.0,0.9317602040816326
2925985,2024-02-13 05:49:47.209,-3,-1.0,-3,-1.0,-1.0
2925986,2024-02-13 05:49:58.839,-3,-3.0,992,0.0,0.9317602040816326
2925987,2024-02-13 05:50:00.865,-3,-1.0,-3,-1.0,-1.0
2925988,2024-02-13 05:49:58.839,-3,-3.0,992,0.0,0.9317602040816326
2925989,2024-02-13 05:50:15.293,-3,-1.0,-3,-1.0,-1.0
2925990,2024-02-13 05:50:34.981,-3,-1.0,-3,-1.0,-1.0
2925991,2024-02-13 05:51:09.368,-3,11942774100.0,95,2030331716.6666667,2.006868131868132
2925992,2024-02-13 05:51:11.403,-3,-1.0,-3,-1.0,-1.0
2925993,2024-02-13 05:51:18.390,-3,-1.0,-3,-1.0,-1.0
2925994,2024-02-13 05:51:28.357,-3,-1.0,-3,-1.0,-1.0
2925995,2024-02-13 05:51:09.368,-3,11942774100.0,95,2030331716.6666667,2.006868131868132
2925996,2024-02-13 05:51:34.517,-3,-1.0,-3,-1.0,-1.0
2925997,2024-02-13 05:51:42.925,-3,1494204.0,1023,498068.0,18.2625
2925998,2024-02-13 05:51:46.364,-3,11942774100.0,95,2030331716.6666667,2.006868131868132
2925999,2024-02-13 05:51:42.925,-3,1494204.0,1023,498068.0,18.2625
